id,Name,brawler number,Role,Rarity,Attack Range,Gender,Attacks per Ammo,Super Type
1,Shelly,Original 15,Damage Dealer,Starting Brawler,Long,Female,5,"CC, Damage"
2,Colt,Original 15,Damage Dealer,Rare,Long,Male,6,Damage
3,Bull,Original 15,Tank,Rare,Normal,Male,5,"CC, Damage, Debuff, Mobility"
4,Brock,Original 15,Marksman,Rare,Long,Male,1,Damage
5,Rico,Original 15,Damage Dealer,Super Rare,Very Long,Male,5,Damage
6,Spike,Original 15,Damage Dealer,Legendary,Long,Male,1,"Debuff, DOT"
7,Barley,Original 15,Artillery,Rare,Long,Male,1,"Damage, DOT"
8,Jessie,Original 15,Controller,Super Rare,Long,Female,1,Summon
9,Nita,Original 15,Damage Dealer,Rare,Normal,Female,1,Summon
10,Dynamike,Original 15,Artillery,Super Rare,Long,Male,2,"CC, Damage"
11,El Primo,Original 15,Tank,Rare,Short,Male,4,"CC, Damage, Mobility"
12,Mortis,Original 15,Assassin,Mythic,Short,Male,1,"Damage, Heal"
13,Crow,Original 15,Assassin,Legendary,Long,Male,3,"Damage, DOT, Mobility"
14,Poco,Original 15,Support,Rare,Long,Male,1,Heal
15,Bo,Original 15,Controller,Epic,Long,Male,3,"CC, Damage"
16,Piper,16,Marksman,Epic,Very Long,Female,1,"CC, Damage, Mobility"
17,Pam,17,Support,Epic,Long,Female,9,Summon
18,Tara,18,Damage Dealer,Mythic,Long,Female,3,"CC, Damage"
19,Darryl,19,Tank,Super Rare,Normal,Male,10,"CC, Damage, Mobility"
20,Penny,20,Artillery,Super Rare,Long,Female,1,Summon
21,Frank,21,Tank,Epic,Normal,Male,1,"CC, Damage"
22,Gene,22,Controller,Mythic,Very Long,Male,1,"CC, Damage"
23,Tick,23,Artillery,Super Rare,Long,Male,3,Summon
24,Leon,24,Assassin,Legendary,Very Long,Male,4,"Buff, Mobility"
25,Rosa,25,Tank,Rare,Short,Female,3,Buff
26,Carl,26,Damage Dealer,Super Rare,Long,Male,1,"Damage, Mobility"
27,Bibi,27,Tank,Epic,Short,Female,1,Damage
28,8-Bit,28,Damage Dealer,Super Rare,Very Long,Genderless,6,Summon
29,Sandy,29,Controller,Legendary,Normal,Female,1,Buff
30,Bea,30,Marksman,Epic,Very Long,Female,1,"Damage, Debuff"
31,Emz,31,Controller,Epic,Normal,Female,1,"Damage, Debuff, DOT"
32,Mr. P,32,Controller,Mythic,Long,Male,1,Summon
33,Max,33,Support,Mythic,Long,Female,4,"Buff, Mobility"
34,Jacky,34,Tank,Super Rare,Short,Female,1,CC
35,Gale,35,Controller,Epic,Long,Male,6,"CC, Damage"
36,Nani,36,Marksman,Epic,Long,Female,3,"CC, Damage"
37,Sprout,37,Artillery,Mythic,Normal,Genderless,1,CC
38,Surge,38,Damage Dealer,Legendary,Normal,Male,1,"CC, Mobility, Transform"
